"Notes","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","< 1 year","1","1999","1999",319,1852123,17.2,15.3,19.1,1.0,0.0%
,"Female","F","< 1 year","1","2000","2000",339,1856631,18.3,16.3,20.2,1.0,0.0%
,"Female","F","< 1 year","1","2001","2001",365,1962905,18.6,16.7,20.5,1.0,0.0%
,"Female","F","< 1 year","1","2002","2002",354,1932939,18.3,16.4,20.2,1.0,0.0%
,"Female","F","< 1 year","1","2003","2003",325,1942634,16.7,14.9,18.5,0.9,0.0%
,"Female","F","< 1 year","1","2004","2004",345,1962216,17.6,15.7,19.4,0.9,0.0%
,"Female","F","< 1 year","1","2005","2005",347,1956682,17.7,15.9,19.6,1.0,0.0%
,"Female","F","< 1 year","1","2006","2006",322,1975919,16.3,14.5,18.1,0.9,0.0%
,"Female","F","< 1 year","1","2007","2007",352,2027181,17.4,15.6,19.2,0.9,0.0%
,"Female","F","< 1 year","1","2008","2008",355,2022889,17.5,15.7,19.4,0.9,0.0%
,"Female","F","< 1 year","1","2009","2009",265,1959169,13.5,11.9,15.2,0.8,0.0%
,"Female","F","< 1 year","1","2010","2010",275,1929877,14.2,12.6,15.9,0.9,0.0%
,"Female","F","< 1 year","1","2011","2011",223,1952827,11.4,9.9,12.9,0.8,0.0%
,"Female","F","< 1 year","1","2012","2012",203,1926339,10.5,9.1,12.0,0.7,0.0%
,"Female","F","< 1 year","1","2013","2013",175,1925056,9.1,7.7,10.4,0.7,0.0%
,"Female","F","< 1 year","1","2014","2014",193,1930493,10.0,8.6,11.4,0.7,0.0%
,"Female","F","< 1 year","1","2015","2015",214,1942904,11.0,9.5,12.5,0.8,0.0%
,"Female","F","< 1 year","1","2016","2016",225,1939667,11.6,10.1,13.1,0.8,0.0%
,"Female","F","< 1 year","1","2017","2017",203,1924145,10.6,9.1,12.0,0.7,0.0%
,"Female","F","< 1 year","1","2018","2018",178,1879703,9.5,8.1,10.9,0.7,0.0%
,"Female","F","< 1 year","1","2019","2019",179,1847935,9.7,8.3,11.1,0.7,0.0%
,"Female","F","< 1 year","1","2020","2020",168,1826869,9.2,7.8,10.6,0.7,0.0%
"Total","Female","F","< 1 year","1",,,5924,42477103,13.9,13.6,14.3,0.2,0.2%
,"Female","F","1-4 years","1-4","1999","1999",150,7493614,2.0,1.7,2.3,0.2,0.0%
,"Female","F","1-4 years","1-4","2000","2000",150,7508434,2.0,1.7,2.3,0.2,0.0%
,"Female","F","1-4 years","1-4","2001","2001",152,7468536,2.0,1.7,2.4,0.2,0.0%
,"Female","F","1-4 years","1-4","2002","2002",128,7564711,1.7,1.4,2.0,0.1,0.0%
,"Female","F","1-4 years","1-4","2003","2003",153,7636693,2.0,1.7,2.3,0.2,0.0%
,"Female","F","1-4 years","1-4","2004","2004",116,7713175,1.5,1.2,1.8,0.1,0.0%
,"Female","F","1-4 years","1-4","2005","2005",141,7785123,1.8,1.5,2.1,0.2,0.0%
,"Female","F","1-4 years","1-4","2006","2006",128,7775092,1.6,1.4,1.9,0.1,0.0%
,"Female","F","1-4 years","1-4","2007","2007",126,7813088,1.6,1.3,1.9,0.1,0.0%
,"Female","F","1-4 years","1-4","2008","2008",163,7891294,2.1,1.7,2.4,0.2,0.0%
,"Female","F","1-4 years","1-4","2009","2009",113,7943260,1.4,1.2,1.7,0.1,0.0%
,"Female","F","1-4 years","1-4","2010","2010",109,7952058,1.4,1.1,1.6,0.1,0.0%
,"Female","F","1-4 years","1-4","2011","2011",120,7909731,1.5,1.2,1.8,0.1,0.0%
,"Female","F","1-4 years","1-4","2012","2012",96,7856870,1.2,1.0,1.5,0.1,0.0%
,"Female","F","1-4 years","1-4","2013","2013",88,7790614,1.1,0.9,1.4,0.1,0.0%
,"Female","F","1-4 years","1-4","2014","2014",79,7790662,1.0,0.8,1.3,0.1,0.0%
,"Female","F","1-4 years","1-4","2015","2015",114,7786776,1.5,1.2,1.7,0.1,0.0%
,"Female","F","1-4 years","1-4","2016","2016",117,7800517,1.5,1.2,1.8,0.1,0.0%
,"Female","F","1-4 years","1-4","2017","2017",69,7818747,0.9,0.7,1.1,0.1,0.0%
,"Female","F","1-4 years","1-4","2018","2018",98,7798370,1.3,1.0,1.5,0.1,0.0%
,"Female","F","1-4 years","1-4","2019","2019",98,7719541,1.3,1.0,1.5,0.1,0.0%
,"Female","F","1-4 years","1-4","2020","2020",64,7613266,0.8,0.6,1.1,0.1,0.0%
"Total","Female","F","1-4 years","1-4",,,2572,170430172,1.5,1.5,1.6,0.0,0.1%
,"Female","F","5-14 years","5-14","1999","1999",202,19908282,1.0,0.9,1.2,0.1,0.0%
,"Female","F","5-14 years","5-14","2000","2000",137,20034103,0.7,0.6,0.8,0.1,0.0%
,"Female","F","5-14 years","5-14","2001","2001",147,20075767,0.7,0.6,0.9,0.1,0.0%
,"Female","F","5-14 years","5-14","2002","2002",181,20071157,0.9,0.8,1.0,0.1,0.0%
,"Female","F","5-14 years","5-14","2003","2003",164,20026122,0.8,0.7,0.9,0.1,0.0%
,"Female","F","5-14 years","5-14","2004","2004",148,19946937,0.7,0.6,0.9,0.1,0.0%
,"Female","F","5-14 years","5-14","2005","2005",142,19822282,0.7,0.6,0.8,0.1,0.0%
,"Female","F","5-14 years","5-14","2006","2006",151,19817117,0.8,0.6,0.9,0.1,0.0%
,"Female","F","5-14 years","5-14","2007","2007",135,19810765,0.7,0.6,0.8,0.1,0.0%
,"Female","F","5-14 years","5-14","2008","2008",133,19856962,0.7,0.6,0.8,0.1,0.0%
,"Female","F","5-14 years","5-14","2009","2009",162,19963476,0.8,0.7,0.9,0.1,0.0%
,"Female","F","5-14 years","5-14","2010","2010",130,20056351,0.6,0.5,0.8,0.1,0.0%
,"Female","F","5-14 years","5-14","2011","2011",137,20067831,0.7,0.6,0.8,0.1,0.0%
,"Female","F","5-14 years","5-14","2012","2012",111,20118347,0.6,0.4,0.7,0.1,0.0%
,"Female","F","5-14 years","5-14","2013","2013",127,20159538,0.6,0.5,0.7,0.1,0.0%
,"Female","F","5-14 years","5-14","2014","2014",107,20161424,0.5,0.4,0.6,0.1,0.0%
,"Female","F","5-14 years","5-14","2015","2015",121,20129986,0.6,0.5,0.7,0.1,0.0%
,"Female","F","5-14 years","5-14","2016","2016",139,20099377,0.7,0.6,0.8,0.1,0.0%
,"Female","F","5-14 years","5-14","2017","2017",127,20109479,0.6,0.5,0.7,0.1,0.0%
,"Female","F","5-14 years","5-14","2018","2018",126,20100339,0.6,0.5,0.7,0.1,0.0%
,"Female","F","5-14 years","5-14","2019","2019",133,20053140,0.7,0.6,0.8,0.1,0.0%
,"Female","F","5-14 years","5-14","2020","2020",89,20050413,0.4,0.4,0.5,0.0,0.0%
"Total","Female","F","5-14 years","5-14",,,3049,440439195,0.7,0.7,0.7,0.0,0.1%
,"Female","F","15-24 years","15-24","1999","1999",370,18860184,2.0,1.8,2.2,0.1,0.0%
,"Female","F","15-24 years","15-24","2000","2000",332,19105073,1.7,1.6,1.9,0.1,0.0%
,"Female","F","15-24 years","15-24","2001","2001",314,19585847,1.6,1.4,1.8,0.1,0.0%
,"Female","F","15-24 years","15-24","2002","2002",336,19898124,1.7,1.5,1.9,0.1,0.0%
,"Female","F","15-24 years","15-24","2003","2003",361,20180290,1.8,1.6,2.0,0.1,0.0%
,"Female","F","15-24 years","15-24","2004","2004",338,20433434,1.7,1.5,1.8,0.1,0.0%
,"Female","F","15-24 years","15-24","2005","2005",346,20657595,1.7,1.5,1.9,0.1,0.0%
,"Female","F","15-24 years","15-24","2006","2006",335,20836077,1.6,1.4,1.8,0.1,0.0%
,"Female","F","15-24 years","15-24","2007","2007",341,21001489,1.6,1.5,1.8,0.1,0.0%
,"Female","F","15-24 years","15-24","2008","2008",329,21144714,1.6,1.4,1.7,0.1,0.0%
,"Female","F","15-24 years","15-24","2009","2009",377,21263984,1.8,1.6,2.0,0.1,0.0%
,"Female","F","15-24 years","15-24","2010","2010",313,21308500,1.5,1.3,1.6,0.1,0.0%
,"Female","F","15-24 years","15-24","2011","2011",301,21366229,1.4,1.2,1.6,0.1,0.0%
,"Female","F","15-24 years","15-24","2012","2012",307,21431588,1.4,1.3,1.6,0.1,0.0%
,"Female","F","15-24 years","15-24","2013","2013",304,21429247,1.4,1.3,1.6,0.1,0.0%
,"Female","F","15-24 years","15-24","2014","2014",325,21456371,1.5,1.4,1.7,0.1,0.0%
,"Female","F","15-24 years","15-24","2015","2015",322,21382495,1.5,1.3,1.7,0.1,0.0%
,"Female","F","15-24 years","15-24","2016","2016",348,21218116,1.6,1.5,1.8,0.1,0.0%
,"Female","F","15-24 years","15-24","2017","2017",300,21100662,1.4,1.3,1.6,0.1,0.0%
,"Female","F","15-24 years","15-24","2018","2018",337,20994345,1.6,1.4,1.8,0.1,0.0%
,"Female","F","15-24 years","15-24","2019","2019",299,20877151,1.4,1.3,1.6,0.1,0.0%
,"Female","F","15-24 years","15-24","2020","2020",314,20828241,1.5,1.3,1.7,0.1,0.0%
"Total","Female","F","15-24 years","15-24",,,7249,456359756,1.6,1.6,1.6,0.0,0.2%
,"Female","F","25-34 years","25-34","1999","1999",851,19945090,4.3,4.0,4.6,0.1,0.0%
,"Female","F","25-34 years","25-34","2000","2000",716,19771195,3.6,3.4,3.9,0.1,0.0%
,"Female","F","25-34 years","25-34","2001","2001",726,19567043,3.7,3.4,4.0,0.1,0.0%
,"Female","F","25-34 years","25-34","2002","2002",740,19518779,3.8,3.5,4.1,0.1,0.0%
,"Female","F","25-34 years","25-34","2003","2003",709,19500922,3.6,3.4,3.9,0.1,0.0%
,"Female","F","25-34 years","25-34","2004","2004",738,19520225,3.8,3.5,4.1,0.1,0.0%
,"Female","F","25-34 years","25-34","2005","2005",701,19547698,3.6,3.3,3.9,0.1,0.0%
,"Female","F","25-34 years","25-34","2006","2006",671,19626340,3.4,3.2,3.7,0.1,0.0%
,"Female","F","25-34 years","25-34","2007","2007",667,19788593,3.4,3.1,3.6,0.1,0.0%
,"Female","F","25-34 years","25-34","2008","2008",759,20019411,3.8,3.5,4.1,0.1,0.0%
,"Female","F","25-34 years","25-34","2009","2009",791,20267430,3.9,3.6,4.2,0.1,0.0%
,"Female","F","25-34 years","25-34","2010","2010",748,20431857,3.7,3.4,3.9,0.1,0.0%
,"Female","F","25-34 years","25-34","2011","2011",780,20746335,3.8,3.5,4.0,0.1,0.0%
